Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
chenille-patches,Chenille Patches,"<p>Chenille patches offer the timeless look of classic varsity letters with the versatility of modern design. These patches feature a plush, textured surface that stands out, paired with a sturdy felt background, making them perfect for jackets, sweaters, and bags. Each patch can be customized with a variety of bold colors and can include intricate details and lettering.</p> <p data-mce-fragment=""1"" style=""font-size: 10pt; font-weight: 600;"" class=""MuiTypography-root jss108 MuiTypography-body1""><meta charset=""utf-8""><span data-mce-fragment=""1"">Each patch order includes a free roll of Thermal Tape.</span></p>",Patch Kraze,Uncategorized,chenille,"Chenille Patches, patches, Popular, rush, Standard Patches",true,Patch Size (inches),"3""",,,,,,,,,0.0,,0,deny,manual,5.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/Photo_ChenilleNP05_2024.jpg?v=1762185680,1,"",false,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/Photo_ChenilleNP05_2024.jpg?v=1762185680,lb,,,active
chenille-patches,,,,,,,,,"3.5""",,,,,,,,,0.0,,0,deny,manual,6.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/Patch_Chenille_90e88987-e41a-4bb1-a800-5d59931e89bb.png?v=1762185680,2,"",,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/Patch_Chenille_90e88987-e41a-4bb1-a800-5d59931e89bb.png?v=1762185680,lb,,,
chenille-patches,,,,,,,,,"4""",,,,,,,,'00840400570600,0.0,,0,deny,manual,8.70,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/Photo_ChenilleNP02_2024.jpg?v=1762185680,3,"",,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/Photo_ChenilleNP02_2024.jpg?v=1762185680,lb,,,
chenille-patches,,,,,,,,,"4.5""",,,,,,,,'00840400587363,0.0,,0,deny,manual,10.80,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/Photo_ChenilleNP01_2024.jpg?v=1762185680,4,"",,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/Photo_ChenilleNP01_2024.jpg?v=1762185680,lb,,,
chenille-patches,,,,,,,,,"5""",,,,,,,,'00840400570969,0.0,,0,deny,manual,12.54,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/Photo_ChenilleNP04_2024.jpg?v=1762185680,5,"",,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/Photo_ChenilleNP04_2024.jpg?v=1762185680,lb,,,
chenille-patches,,,,,,,,,"5.5""",,,,,,,,'00840400587370,0.0,,0,deny,manual,13.52,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/Photo_ChenilleNP03_2024.jpg?v=1762185680,6,"",,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/Photo_ChenilleNP03_2024.jpg?v=1762185680,lb,,,
chenille-patches,,,,,,,,,"6""",,,,,,,,'00840400570204,0.0,,0,deny,manual,14.81,,true,true,,,,,,,,,,,,,lb,,,
chenille-patches,,,,,,,,,"6.5""",,,,,,,,'00840400587387,0.0,,0,deny,manual,15.25,,true,true,,,,,,,,,,,,,lb,,,
chenille-patches,,,,,,,,,"7""",,,,,,,,'00840400570945,0.0,,0,deny,manual,15.88,,true,true,,,,,,,,,,,,,lb,,,
chenille-patches,,,,,,,,,"7.5""",,,,,,,,'00840400587394,0.0,,0,deny,manual,16.29,,true,true,,,,,,,,,,,,,lb,,,
chenille-patches,,,,,,,,,"8""",,,,,,,,'00840400570471,0.0,,0,deny,manual,16.72,,true,true,,,,,,,,,,,,,lb,,,
chenille-patches,,,,,,,,,"8.5""",,,,,,,,'00840400587400,0.0,,0,deny,manual,17.10,,true,true,,,,,,,,,,,,,lb,,,
chenille-patches,,,,,,,,,"9""",,,,,,,,'00840400570730,0.0,,0,deny,manual,17.56,,true,true,,,,,,,,,,,,,lb,,,
chenille-patches,,,,,,,,,"9.5""",,,,,,,,'00840400587417,0.0,,0,deny,manual,18.43,,true,true,,,,,,,,,,,,,lb,,,
chenille-patches,,,,,,,,,"10""",,,,,,,,'00840400570525,0.0,,0,deny,manual,19.22,,true,true,,,,,,,,,,,,,lb,,,
