Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
custom-keychains,Custom PVC Keychains,"<div class=""jss96""> <div class=""MuiContainer-root MuiContainer-maxWidthXl""> <div class=""MuiGrid-root MuiGrid-container MuiGrid-spacing-xs-4""> <div class=""MuiGrid-root MuiGrid-item MuiGrid-grid-xs-12 MuiGrid-grid-lg-6""> <div class=""jss105""> <p class=""MuiTypography-root jss108 MuiTypography-body1""><meta charset=""utf-8""><meta charset=""utf-8"">Create bold, custom rubber keychains with vibrant 3D detail and flexible PVC construction. Fully customizable in shape, size, and color, our keychains are perfect for promotions, events, or everyday use.<br></p> <p class=""MuiTypography-root jss108 MuiTypography-body1  __prematched-text""><span><meta charset=""utf-8""> <span style=""font-weight: 600;"">Add a Premade Patch Sample to Cart - </span><span style=""font-weight: 800;"">$0.01</span> <a title=""Add to Cart"" href=""https://Patch%20Krazepatches.com/cart/add?id=51008455803199&amp;quantity=1""><strong>Add to Cart</strong></a></span></p> <p class=""__prematched-text""><br></p> </div> </div> </div> </div> </div>",Patch Kraze,Uncategorized,rubber pvc,"keychain, patches, Popular, Rubber Patches, Standard Patches",true,Keychain Size (inches),"1.5""",,,,,,,,'00840400530475,0.0,,0,deny,manual,7.06,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/Patches-collage_3bdc5b1e-b9e9-44d3-956c-f94201312144.jpg?v=1762185591,1,"",false,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/Patches-collage_3bdc5b1e-b9e9-44d3-956c-f94201312144.jpg?v=1762185591,lb,,,active
custom-keychains,,,,,,,,,"2""",,,,,,,,'00840400530482,0.0,,0,deny,manual,7.51,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/2-piece_cf079337-99c2-4fe6-a77c-614677298c53.jpg?v=1762185592,2,"",,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/2-piece_cf079337-99c2-4fe6-a77c-614677298c53.jpg?v=1762185592,lb,,,
custom-keychains,,,,,,,,,"2.5""",,,,,,,,'00840400530499,0.0,,0,deny,manual,7.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/oyur-business.jpg?v=1762185591,3,"",,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/oyur-business.jpg?v=1762185591,lb,,,
custom-keychains,,,,,,,,,"3""",,,,,,,,'00840400530505,0.0,,0,deny,manual,8.39,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/merica.jpg?v=1762185591,4,"",,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/merica.jpg?v=1762185591,lb,,,
custom-keychains,,,,,,,,,"3.5""",,,,,,,,'00840400530512,0.0,,0,deny,manual,8.82,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/beach-club.jpg?v=1762185592,5,"",,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/beach-club.jpg?v=1762185592,lb,,,
custom-keychains,,,,,,,,,"4""",,,,,,,,'00840400530529,0.0,,0,deny,manual,10.12,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/Racer-Tees.jpg?v=1762185592,6,"",,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/Racer-Tees.jpg?v=1762185592,lb,,,
rubber-patches-for-hats,Custom Rubber Patches For Hats,"<meta charset=""utf-8""> <p class=""MuiTypography-root jss108 MuiTypography-body1"" data-mce-fragment=""1""><span style=""font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 0.875rem;""><meta charset=""utf-8""> <span data-mce-fragment=""1"">Custom rubber patches for hats are waterproof, durable, flexible, and dimensional patches that are not only versatile, but also come with a flat finish. With their low-melt backing, they cater to the diverse decoration needs of the contemporary market.</span></span><br><meta charset=""utf-8""></p> <p class=""MuiTypography-root jss108 MuiTypography-body1"" style=""font-size: 10pt; font-weight: 600;"" data-mce-fragment=""1""><span data-mce-fragment=""1"">Each patch order includes a Free roll of Thermal Tape.</span></p> <p class=""MuiTypography-root jss108 MuiTypography-body1 __prematched-text"" data-mce-fragment=""1""><span><strong>Add a Premade Patch Sample to <meta charset=""utf-8"">Cart - $0.01 -</strong> <a href=""https://Patch%20Krazepatches.com/cart/add?id=46978094825791&amp;quantity=1"" title=""Add to Cart""><strong>Add to Cart</strong></a></span></p>",Patch Kraze,,rubber pvc,"patches, Rubber Patches, SEO Patches",true,Patch Width (inches),"1.5""",,,,,,,,'00840400506753,0.0,,0,deny,manual,6.55,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/rubberhat.webp?v=1762185710,1,"",false,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/rubberhat.webp?v=1762185710,lb,,,active
rubber-patches-for-hats,,,,,,,,,"2""",,,,,,,,'00840400506944,0.0,,0,deny,manual,7.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/Rubberbeanie.webp?v=1762185710,2,"",,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/Rubberbeanie.webp?v=1762185710,lb,,,
rubber-patches-for-hats,,,,,,,,,"2.5""",,,,,,,,'00840400508528,0.0,,0,deny,manual,7.44,,true,true,,,,,,,,,,,,,lb,,,
rubber-patches-for-hats,,,,,,,,,"3""",,,,,,,,'00840400507019,0.0,,0,deny,manual,7.88,,true,true,,,,,,,,,,,,,lb,,,
rubber-patches-for-hats,,,,,,,,,"3.5""",,,,,,,,'00840400507293,0.0,,0,deny,manual,8.31,,true,true,,,,,,,,,,,,,lb,,,
rubber-patches-for-hats,,,,,,,,,"4""",,,,,,,,'00840400507866,0.0,,0,deny,manual,9.61,,true,true,,,,,,,,,,,,,lb,,,
