Handle,Title,Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Status
pvc-rubber-patches,PVC Rubber Patches,Patch Kraze,Uncategorized,rubber pvc,"patches, Rubber Patches, Standard Patches",true,Patch Size x Quantity,1.5 inch - 10-49,PVC-1.5-1049,0,shopify,100,deny,manual,4.50,,true,true,,false,,,lb,active
pvc-rubber-patches,,,,,,,,1.5 inch - 50-99,PVC-1.5-5099,0,shopify,100,deny,manual,3.47,,true,true,,,,,lb,lb
pvc-rubber-patches,,,,,,,,1.5 inch - 100-199,PVC-1.5-100199,0,shopify,100,deny,manual,2.39,,true,true,,,,,lb,lb
pvc-rubber-patches,,,,,,,,1.5 inch - 200-499,PVC-1.5-200499,0,shopify,100,deny,manual,1.67,,true,true,,,,,lb,lb
pvc-rubber-patches,,,,,,,,1.5 inch - 500-999,PVC-1.5-500999,0,shopify,100,deny,manual,1.35,,true,true,,,,,lb,lb
pvc-rubber-patches,,,,,,,,1.5 inch - 1000+,PVC-1.5-1000,0,shopify,100,deny,manual,1.23,,true,true,,,,,lb,lb
pvc-rubber-patches,,,,,,,,2.0 inch - 10-49,PVC-2.0-1049,0,shopify,100,deny,manual,4.55,,true,true,,,,,lb,lb
pvc-rubber-patches,,,,,,,,2.0 inch - 50-99,PVC-2.0-5099,0,shopify,100,deny,manual,3.50,,true,true,,,,,lb,lb
pvc-rubber-patches,,,,,,,,2.0 inch - 100-199,PVC-2.0-100199,0,shopify,100,deny,manual,2.40,,true,true,,,,,lb,lb
pvc-rubber-patches,,,,,,,,2.0 inch - 200-499,PVC-2.0-200499,0,shopify,100,deny,manual,1.67,,true,true,,,,,lb,lb
pvc-rubber-patches,,,,,,,,2.0 inch - 500-999,PVC-2.0-500999,0,shopify,100,deny,manual,1.38,,true,true,,,,,lb,lb
pvc-rubber-patches,,,,,,,,2.0 inch - 1000+,PVC-2.0-1000,0,shopify,100,deny,manual,1.25,,true,true,,,,,lb,lb
pvc-rubber-patches,,,,,,,,2.5 inch - 10-49,PVC-2.5-1049,0,shopify,100,deny,manual,5.55,,true,true,,,,,lb,lb
pvc-rubber-patches,,,,,,,,2.5 inch - 50-99,PVC-2.5-5099,0,shopify,100,deny,manual,4.26,,true,true,,,,,lb,lb
pvc-rubber-patches,,,,,,,,2.5 inch - 100-199,PVC-2.5-100199,0,shopify,100,deny,manual,2.85,,true,true,,,,,lb,lb
pvc-rubber-patches,,,,,,,,2.5 inch - 200-499,PVC-2.5-200499,0,shopify,100,deny,manual,1.89,,true,true,,,,,lb,lb
pvc-rubber-patches,,,,,,,,2.5 inch - 500-999,PVC-2.5-500999,0,shopify,100,deny,manual,1.64,,true,true,,,,,lb,lb
pvc-rubber-patches,,,,,,,,2.5 inch - 1000+,PVC-2.5-1000,0,shopify,100,deny,manual,1.49,,true,true,,,,,lb,lb
pvc-rubber-patches,,,,,,,,3.0 inch - 10-49,PVC-3.0-1049,0,shopify,100,deny,manual,5.57,,true,true,,,,,lb,lb
pvc-rubber-patches,,,,,,,,3.0 inch - 50-99,PVC-3.0-5099,0,shopify,100,deny,manual,4.28,,true,true,,,,,lb,lb
pvc-rubber-patches,,,,,,,,3.0 inch - 100-199,PVC-3.0-100199,0,shopify,100,deny,manual,2.85,,true,true,,,,,lb,lb
pvc-rubber-patches,,,,,,,,3.0 inch - 200-499,PVC-3.0-200499,0,shopify,100,deny,manual,1.92,,true,true,,,,,lb,lb
pvc-rubber-patches,,,,,,,,3.0 inch - 500-999,PVC-3.0-500999,0,shopify,100,deny,manual,1.65,,true,true,,,,,lb,lb
pvc-rubber-patches,,,,,,,,3.0 inch - 1000+,PVC-3.0-1000,0,shopify,100,deny,manual,1.49,,true,true,,,,,lb,lb
pvc-rubber-patches,,,,,,,,3.5 inch - 10-49,PVC-3.5-1049,0,shopify,100,deny,manual,6.51,,true,true,,,,,lb,lb
pvc-rubber-patches,,,,,,,,3.5 inch - 50-99,PVC-3.5-5099,0,shopify,100,deny,manual,5.01,,true,true,,,,,lb,lb
pvc-rubber-patches,,,,,,,,3.5 inch - 100-199,PVC-3.5-100199,0,shopify,100,deny,manual,3.27,,true,true,,,,,lb,lb
pvc-rubber-patches,,,,,,,,3.5 inch - 200-499,PVC-3.5-200499,0,shopify,100,deny,manual,2.16,,true,true,,,,,lb,lb
pvc-rubber-patches,,,,,,,,3.5 inch - 500-999,PVC-3.5-500999,0,shopify,100,deny,manual,1.83,,true,true,,,,,lb,lb
pvc-rubber-patches,,,,,,,,3.5 inch - 1000+,PVC-3.5-1000,0,shopify,100,deny,manual,1.65,,true,true,,,,,lb,lb
pvc-rubber-patches,,,,,,,,4.0 inch - 10-49,PVC-4.0-1049,0,shopify,100,deny,manual,7.49,,true,true,,,,,lb,lb
pvc-rubber-patches,,,,,,,,4.0 inch - 50-99,PVC-4.0-5099,0,shopify,100,deny,manual,5.78,,true,true,,,,,lb,lb
pvc-rubber-patches,,,,,,,,4.0 inch - 100-199,PVC-4.0-100199,0,shopify,100,deny,manual,3.77,,true,true,,,,,lb,lb
pvc-rubber-patches,,,,,,,,4.0 inch - 200-499,PVC-4.0-200499,0,shopify,100,deny,manual,2.49,,true,true,,,,,lb,lb
pvc-rubber-patches,,,,,,,,4.0 inch - 500-999,PVC-4.0-500999,0,shopify,100,deny,manual,2.09,,true,true,,,,,lb,lb
pvc-rubber-patches,,,,,,,,4.0 inch - 1000+,PVC-4.0-1000,0,shopify,100,deny,manual,1.91,,true,true,,,,,lb,lb
