Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
sublimation-patches-for-hats,Sublimation Patches,"<meta charset=""utf-8""> <p class=""MuiTypography-root jss108 MuiTypography-body1"" data-mce-fragment=""1""><span style=""font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 0.875rem;""><meta charset=""utf-8""> <span data-mce-fragment=""1"">Custom sublimation hat patches allow for vibrant full-color printing with your unique text and designs. Similar to our embroidered badges, these sublimated patches are finished with a merrow border in a thread color of your choosing.</span> </span><br><meta charset=""utf-8""></p> <p class=""MuiTypography-root jss108 MuiTypography-body1"" style=""font-size: 10pt; font-weight: 600;"" data-mce-fragment=""1""><span data-mce-fragment=""1"">Each patch order includes a Free roll of Thermal Tape.</span></p> <p class=""MuiTypography-root jss108 MuiTypography-body1 __prematched-text""><meta charset=""utf-8""><strong>Add a Premade Patch Sample to </strong><span data-mce-fragment=""1""><strong>Cart - $0.01 -</strong> <a href=""https://Patch%20Krazepatches.com/cart/add?id=46978094760255&amp;quantity=1"" title=""Add to Cart"" data-mce-fragment=""1"" data-mce-href=""https://Patch Krazepatches.com/cart/add?id=46978094760255&amp;quantity=1""><strong data-mce-fragment=""1"">Add to Cart</strong></a></span><br></p>",Patch Kraze,Uncategorized,full color,"patches, rush, SEO Patches",true,Patch Width (inches),"1""",,,,,,,,'00840400507729,0.0,,0,deny,manual,3.20,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/subhat.webp?v=1762185709,1,"",false,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/subhat.webp?v=1762185709,lb,,,active
sublimation-patches-for-hats,,,,,,,,,"1.5""",,,,,,,,'00840400506609,0.0,,0,deny,manual,3.37,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/subbeanie.webp?v=1762185709,2,"",,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/subbeanie.webp?v=1762185709,lb,,,
sublimation-patches-for-hats,,,,,,,,,"2""",,,,,,,,'00840400508573,0.0,,0,deny,manual,3.49,,true,true,,,,,,,,,,,,,lb,,,
sublimation-patches-for-hats,,,,,,,,,"2.5""",,,,,,,,'00840400508450,0.0,,0,deny,manual,3.62,,true,true,,,,,,,,,,,,,lb,,,
sublimation-patches-for-hats,,,,,,,,,"3""",,,,,,,,'00840400506722,0.0,,0,deny,manual,3.79,,true,true,,,,,,,,,,,,,lb,,,
sublimation-patches-for-hats,,,,,,,,,"3.5""",,,,,,,,'00840400507491,0.0,,0,deny,manual,4.09,,true,true,,,,,,,,,,,,,lb,,,
sublimation-patches-for-hats,,,,,,,,,"4""",,,,,,,,'00840400508269,0.0,,0,deny,manual,4.38,,true,true,,,,,,,,,,,,,lb,,,
sublimation-patches-for-hats,,,,,,,,,"4.5""",,,,,,,,'00840400508238,0.0,,0,deny,manual,4.68,,true,true,,,,,,,,,,,,,lb,,,
sublimation-patches-for-hats,,,,,,,,,"5""",,,,,,,,'00840400507156,0.0,,0,deny,manual,6.14,,true,true,,,,,,,,,,,,,lb,,,
sublimation-patches-for-hats,,,,,,,,,"5.5""",,,,,,,,'00840400587158,0.0,,0,deny,manual,6.71,,true,true,,,,,,,,,,,,,lb,,,
sublimation-patches-for-hats,,,,,,,,,"6""",,,,,,,,'00840400508320,0.0,,0,deny,manual,7.61,,true,true,,,,,,,,,,,,,lb,,,
sublimation-patches-for-hats,,,,,,,,,"6.5""",,,,,,,,'00840400587165,0.0,,0,deny,manual,8.40,,true,true,,,,,,,,,,,,,lb,,,
sublimation-patches-for-hats,,,,,,,,,"7""",,,,,,,,'00840400508368,0.0,,0,deny,manual,9.06,,true,true,,,,,,,,,,,,,lb,,,
sublimation-patches-for-hats,,,,,,,,,"7.5""",,,,,,,,'00840400587172,0.0,,0,deny,manual,9.93,,true,true,,,,,,,,,,,,,lb,,,
sublimation-patches-for-hats,,,,,,,,,"8""",,,,,,,,'00840400506685,0.0,,0,deny,manual,10.82,,true,true,,,,,,,,,,,,,lb,,,
sublimation-patches-for-hats,,,,,,,,,"8.5""",,,,,,,,'00840400587189,0.0,,0,deny,manual,12.03,,true,true,,,,,,,,,,,,,lb,,,
sublimation-patches-for-hats,,,,,,,,,"9""",,,,,,,,'00840400507606,0.0,,0,deny,manual,13.45,,true,true,,,,,,,,,,,,,lb,,,
