Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
woven-patches,Woven Patches,"<p><meta charset=""utf-8""><meta charset=""utf-8""><span data-mce-fragment=""1"">Our Woven Patches offer best of both worlds! Thread &amp; Flexibility while maintaining the traditional look. We offer you our interlaced weaving process with intricate designs without the need of fabric.</span></p> <p data-mce-fragment=""1"" class=""MuiTypography-root jss108 MuiTypography-body1"" style=""font-size: 10pt; font-weight: 600;""><meta charset=""utf-8""><span data-mce-fragment=""1"">Each patch order includes a free roll of Thermal Tape.</span></p> <p data-mce-fragment=""1"" class=""MuiTypography-root jss108 MuiTypography-body1  __prematched-text""><span><meta charset=""utf-8""> <span style=""font-weight: 600;"">Add a Premade Patch Sample to Cart - </span><span style=""font-weight: 800;"">$0.01</span> - <a href=""https://Patch%20Krazepatches.com/cart/add?id=47076999430463&amp;quantity=1"" title=""Add to Cart""><strong>Add to Cart</strong></a></span></p> <p class=""__prematched-text""><br></p>",Patch Kraze,Uncategorized,woven,"patches, Popular, Standard Patches, woven patches",true,Patch Size (inches),"1.5""",,,,,,,,'00840400506487,0.0,,0,deny,manual,5.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/Woven-Patch-05.jpg?v=1770383029,1,"",false,,,,lb,,,active
woven-patches,,,,,,,,,"2""",,,,,,,,'00840400506593,0.0,,0,deny,manual,5.26,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/Woven-Patch-08.jpg?v=1770383029,2,"",,,,,lb,,,
woven-patches,,,,,,,,,"2.5""",,,,,,,,'00840400506463,0.0,,0,deny,manual,5.78,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/Woven-Patch-09.jpg?v=1770383029,3,"",,,,,lb,,,
woven-patches,,,,,,,,,"3""",,,,,,,,'00840400506562,0.0,,0,deny,manual,6.05,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/Woven-Patch-10.jpg?v=1770383029,4,"",,,,,lb,,,
woven-patches,,,,,,,,,"3.5""",,,,,,,,'00840400506470,0.0,,0,deny,manual,7.35,,true,true,,,,,,,,,,,,,lb,,,
woven-patches,,,,,,,,,"4""",,,,,,,,'00840400506524,0.0,,0,deny,manual,8.16,,true,true,,,,,,,,,,,,,lb,,,
woven-patches,,,,,,,,,"4.5""",,,,,,,,'00840400506531,0.0,,0,deny,manual,9.21,,true,true,,,,,,,,,,,,,lb,,,
woven-patches,,,,,,,,,"5""",,,,,,,,'00840400506500,0.0,,0,deny,manual,10.00,,true,true,,,,,,,,,,,,,lb,,,
woven-patches,,,,,,,,,"5.5""",,,,,,,,'00840400587103,0.0,,0,deny,manual,11.42,,true,true,,,,,,,,,,,,,lb,,,
woven-patches,,,,,,,,,"6""",,,,,,,,'00840400506579,0.0,,0,deny,manual,12.10,,true,true,,,,,,,,,,,,,lb,,,
woven-patches,,,,,,,,,"6.5""",,,,,,,,'00840400587110,0.0,,0,deny,manual,13.09,,true,true,,,,,,,,,,,,,lb,,,
woven-patches,,,,,,,,,"7""",,,,,,,,'00840400506548,0.0,,0,deny,manual,13.68,,true,true,,,,,,,,,,,,,lb,,,
