handle,family,action,old_variant,new_variant,old_price,new_price,change
custom-soccer-patches,Embroidery,UPDATE,1.0 inch - 10,1.0 inch - 10-15,6.99,6.99,+0%
custom-soccer-patches,Embroidery,UPDATE,1.5 inch - 10,1.5 inch - 10-15,6.99,6.99,+0%
custom-soccer-patches,Embroidery,UPDATE,2.0 inch - 10,2.0 inch - 10-15,6.99,6.99,+0%
custom-soccer-patches,Embroidery,UPDATE,2.5 inch - 10,2.5 inch - 10-15,6.99,6.99,+0%
custom-soccer-patches,Embroidery,UPDATE,3.0 inch - 10,3.0 inch - 10-15,7.99,7.99,+0%
custom-soccer-patches,Embroidery,UPDATE,3.5 inch - 10,3.5 inch - 10-15,7.99,7.99,+0%
custom-soccer-patches,Embroidery,UPDATE,4.0 inch - 10,4.0 inch - 10-15,7.99,7.99,+0%
custom-soccer-patches,Embroidery,UPDATE,4.5 inch - 10,4.5 inch - 10-15,8.99,8.99,+0%
custom-soccer-patches,Embroidery,UPDATE,5.0 inch - 10,5.0 inch - 10-15,10.00,10.00,+0%
custom-soccer-patches,Embroidery,UPDATE,6.0 inch - 10,6.0 inch - 10-15,11.00,11.00,+0%
custom-soccer-patches,Embroidery,UPDATE,7.0 inch - 10,7.0 inch - 10-15,12.00,12.00,+0%
custom-soccer-patches,Embroidery,UPDATE,8.0 inch - 10,8.0 inch - 10-15,14.00,14.00,+0%
custom-soccer-patches,Embroidery,UPDATE,9.0 inch - 10,9.0 inch - 10-15,16.00,16.00,+0%
custom-soccer-patches,Embroidery,UPDATE,10.0 inch - 10,10.0 inch - 10-15,18.00,18.00,+0%
custom-soccer-patches,Embroidery,UPDATE,11.0 inch - 10,11.0 inch - 10-15,20.00,20.00,+0%
custom-soccer-patches,Embroidery,UPDATE,12.0 inch - 10,12.0 inch - 10-15,22.00,22.00,+0%
custom-soccer-patches,Embroidery,UPDATE,13.0 inch - 10,13.0 inch - 10-15,23.00,23.00,+0%
custom-soccer-patches,Embroidery,UPDATE,14.0 inch - 10,14.0 inch - 10-15,24.20,24.20,+0%
custom-soccer-patches,Embroidery,UPDATE,15.0 inch - 10,15.0 inch - 10-15,25.40,25.40,+0%
custom-soccer-patches,Embroidery,UPDATE,16.0 inch - 10,16.0 inch - 10-15,26.60,26.60,+0%
custom-soccer-patches,Embroidery,UPDATE,1.0 inch - 11-25,1.0 inch - 16-25,6.36,3.75,-41%
custom-soccer-patches,Embroidery,UPDATE,1.5 inch - 11-25,1.5 inch - 16-25,6.36,3.80,-40%
custom-soccer-patches,Embroidery,UPDATE,2.0 inch - 11-25,2.0 inch - 16-25,6.36,3.95,-38%
custom-soccer-patches,Embroidery,UPDATE,2.5 inch - 11-25,2.5 inch - 16-25,6.36,4.50,-29%
custom-soccer-patches,Embroidery,UPDATE,3.0 inch - 11-25,3.0 inch - 16-25,6.36,5.00,-21%
custom-soccer-patches,Embroidery,UPDATE,3.5 inch - 11-25,3.5 inch - 16-25,6.36,5.20,-18%
custom-soccer-patches,Embroidery,UPDATE,4.0 inch - 11-25,4.0 inch - 16-25,6.36,5.80,-9%
custom-soccer-patches,Embroidery,UPDATE,4.5 inch - 11-25,4.5 inch - 16-25,6.36,6.00,-6%
custom-soccer-patches,Embroidery,UPDATE,5.0 inch - 11-25,5.0 inch - 16-25,7.20,7.20,+0%
custom-soccer-patches,Embroidery,UPDATE,6.0 inch - 11-25,6.0 inch - 16-25,7.30,7.30,+0%
custom-soccer-patches,Embroidery,UPDATE,7.0 inch - 11-25,7.0 inch - 16-25,9.00,9.00,+0%
custom-soccer-patches,Embroidery,UPDATE,8.0 inch - 11-25,8.0 inch - 16-25,11.00,11.00,+0%
custom-soccer-patches,Embroidery,UPDATE,9.0 inch - 11-25,9.0 inch - 16-25,13.00,13.00,+0%
custom-soccer-patches,Embroidery,UPDATE,10.0 inch - 11-25,10.0 inch - 16-25,16.00,16.00,+0%
custom-soccer-patches,Embroidery,UPDATE,11.0 inch - 11-25,11.0 inch - 16-25,18.00,18.00,+0%
custom-soccer-patches,Embroidery,UPDATE,12.0 inch - 11-25,12.0 inch - 16-25,20.00,20.00,+0%
custom-soccer-patches,Embroidery,UPDATE,13.0 inch - 11-25,13.0 inch - 16-25,21.00,21.00,+0%
custom-soccer-patches,Embroidery,UPDATE,14.0 inch - 11-25,14.0 inch - 16-25,22.50,22.50,+0%
custom-soccer-patches,Embroidery,UPDATE,15.0 inch - 11-25,15.0 inch - 16-25,23.70,23.70,+0%
custom-soccer-patches,Embroidery,UPDATE,16.0 inch - 11-25,16.0 inch - 16-25,24.80,24.80,+0%
custom-soccer-patches,Embroidery,UPDATE,1.0 inch - 26-50,1.0 inch - 26-50,3.75,3.75,+0%
custom-soccer-patches,Embroidery,UPDATE,1.5 inch - 26-50,1.5 inch - 26-50,3.75,3.75,+0%
custom-soccer-patches,Embroidery,UPDATE,2.0 inch - 26-50,2.0 inch - 26-50,3.75,3.75,+0%
custom-soccer-patches,Embroidery,UPDATE,2.5 inch - 26-50,2.5 inch - 26-50,3.75,3.75,+0%
custom-soccer-patches,Embroidery,UPDATE,3.0 inch - 26-50,3.0 inch - 26-50,3.75,3.75,+0%
custom-soccer-patches,Embroidery,UPDATE,3.5 inch - 26-50,3.5 inch - 26-50,3.80,3.80,+0%
custom-soccer-patches,Embroidery,UPDATE,4.0 inch - 26-50,4.0 inch - 26-50,3.80,3.80,+0%
custom-soccer-patches,Embroidery,UPDATE,4.5 inch - 26-50,4.5 inch - 26-50,4.00,4.00,+0%
custom-soccer-patches,Embroidery,UPDATE,5.0 inch - 26-50,5.0 inch - 26-50,4.50,4.50,+0%
custom-soccer-patches,Embroidery,UPDATE,6.0 inch - 26-50,6.0 inch - 26-50,6.00,6.00,+0%
custom-soccer-patches,Embroidery,UPDATE,7.0 inch - 26-50,7.0 inch - 26-50,8.00,8.00,+0%
custom-soccer-patches,Embroidery,UPDATE,8.0 inch - 26-50,8.0 inch - 26-50,10.00,10.00,+0%
custom-soccer-patches,Embroidery,UPDATE,9.0 inch - 26-50,9.0 inch - 26-50,12.00,12.00,+0%
custom-soccer-patches,Embroidery,UPDATE,10.0 inch - 26-50,10.0 inch - 26-50,15.00,15.00,+0%
custom-soccer-patches,Embroidery,UPDATE,11.0 inch - 26-50,11.0 inch - 26-50,16.00,16.00,+0%
custom-soccer-patches,Embroidery,UPDATE,12.0 inch - 26-50,12.0 inch - 26-50,18.00,18.00,+0%
custom-soccer-patches,Embroidery,UPDATE,13.0 inch - 26-50,13.0 inch - 26-50,19.00,19.00,+0%
custom-soccer-patches,Embroidery,UPDATE,14.0 inch - 26-50,14.0 inch - 26-50,20.20,20.20,+0%
custom-soccer-patches,Embroidery,UPDATE,15.0 inch - 26-50,15.0 inch - 26-50,21.40,21.40,+0%
custom-soccer-patches,Embroidery,UPDATE,16.0 inch - 26-50,16.0 inch - 26-50,22.70,22.70,+0%
custom-soccer-patches,Embroidery,UPDATE,1.0 inch - 51-100,1.0 inch - 51-100,2.40,2.40,+0%
custom-soccer-patches,Embroidery,UPDATE,1.5 inch - 51-100,1.5 inch - 51-100,2.40,2.40,+0%
custom-soccer-patches,Embroidery,UPDATE,2.0 inch - 51-100,2.0 inch - 51-100,2.40,2.40,+0%
custom-soccer-patches,Embroidery,UPDATE,2.5 inch - 51-100,2.5 inch - 51-100,2.40,2.20,-8%
custom-soccer-patches,Embroidery,UPDATE,3.0 inch - 51-100,3.0 inch - 51-100,2.40,2.14,-11%
custom-soccer-patches,Embroidery,UPDATE,3.5 inch - 51-100,3.5 inch - 51-100,2.50,2.50,+0%
custom-soccer-patches,Embroidery,UPDATE,4.0 inch - 51-100,4.0 inch - 51-100,2.86,2.86,+0%
custom-soccer-patches,Embroidery,UPDATE,4.5 inch - 51-100,4.5 inch - 51-100,3.21,3.21,+0%
custom-soccer-patches,Embroidery,UPDATE,5.0 inch - 51-100,5.0 inch - 51-100,3.58,3.58,+0%
custom-soccer-patches,Embroidery,UPDATE,6.0 inch - 51-100,6.0 inch - 51-100,4.29,4.29,+0%
custom-soccer-patches,Embroidery,UPDATE,7.0 inch - 51-100,7.0 inch - 51-100,5.01,5.01,+0%
custom-soccer-patches,Embroidery,UPDATE,8.0 inch - 51-100,8.0 inch - 51-100,5.72,5.72,+0%
custom-soccer-patches,Embroidery,UPDATE,9.0 inch - 51-100,9.0 inch - 51-100,6.43,6.43,+0%
custom-soccer-patches,Embroidery,UPDATE,10.0 inch - 51-100,10.0 inch - 51-100,7.15,7.15,+0%
custom-soccer-patches,Embroidery,UPDATE,11.0 inch - 51-100,11.0 inch - 51-100,7.87,7.87,+0%
custom-soccer-patches,Embroidery,UPDATE,12.0 inch - 51-100,12.0 inch - 51-100,8.59,8.59,+0%
custom-soccer-patches,Embroidery,UPDATE,13.0 inch - 51-100,13.0 inch - 51-100,10.20,10.20,+0%
custom-soccer-patches,Embroidery,UPDATE,14.0 inch - 51-100,14.0 inch - 51-100,11.40,11.40,+0%
custom-soccer-patches,Embroidery,UPDATE,15.0 inch - 51-100,15.0 inch - 51-100,12.80,12.80,+0%
custom-soccer-patches,Embroidery,UPDATE,16.0 inch - 51-100,16.0 inch - 51-100,13.90,13.90,+0%
custom-soccer-patches,Embroidery,UPDATE,1.0 inch - 101-199,1.0 inch - 101-200,0.70,2.20,+214%
custom-soccer-patches,Embroidery,UPDATE,1.5 inch - 101-199,1.5 inch - 101-200,0.79,2.20,+178%
custom-soccer-patches,Embroidery,UPDATE,2.0 inch - 101-199,2.0 inch - 101-200,1.06,2.20,+108%
custom-soccer-patches,Embroidery,UPDATE,2.5 inch - 101-199,2.5 inch - 101-200,1.33,2.05,+54%
custom-soccer-patches,Embroidery,UPDATE,3.0 inch - 101-199,3.0 inch - 101-200,1.59,1.98,+25%
custom-soccer-patches,Embroidery,UPDATE,3.5 inch - 101-199,3.5 inch - 101-200,1.86,2.20,+18%
custom-soccer-patches,Embroidery,UPDATE,4.0 inch - 101-199,4.0 inch - 101-200,2.11,2.50,+18%
custom-soccer-patches,Embroidery,UPDATE,4.5 inch - 101-199,4.5 inch - 101-200,2.38,3.00,+26%
custom-soccer-patches,Embroidery,UPDATE,5.0 inch - 101-199,5.0 inch - 101-200,2.64,3.30,+25%
custom-soccer-patches,Embroidery,UPDATE,6.0 inch - 101-199,6.0 inch - 101-200,3.18,4.05,+27%
custom-soccer-patches,Embroidery,UPDATE,7.0 inch - 101-199,7.0 inch - 101-200,3.71,4.80,+29%
custom-soccer-patches,Embroidery,UPDATE,8.0 inch - 101-199,8.0 inch - 101-200,4.23,5.40,+28%
custom-soccer-patches,Embroidery,UPDATE,9.0 inch - 101-199,9.0 inch - 101-200,4.76,6.10,+28%
custom-soccer-patches,Embroidery,UPDATE,10.0 inch - 101-199,10.0 inch - 101-200,5.30,6.90,+30%
custom-soccer-patches,Embroidery,UPDATE,11.0 inch - 101-199,11.0 inch - 101-200,5.82,7.40,+27%
custom-soccer-patches,Embroidery,UPDATE,12.0 inch - 101-199,12.0 inch - 101-200,6.35,8.30,+31%
custom-soccer-patches,Embroidery,UPDATE,13.0 inch - 101-199,13.0 inch - 101-200,7.50,9.90,+32%
custom-soccer-patches,Embroidery,UPDATE,14.0 inch - 101-199,14.0 inch - 101-200,8.80,11.05,+26%
custom-soccer-patches,Embroidery,UPDATE,15.0 inch - 101-199,15.0 inch - 101-200,9.95,12.20,+23%
custom-soccer-patches,Embroidery,UPDATE,16.0 inch - 101-199,16.0 inch - 101-200,10.95,13.30,+21%
custom-soccer-patches,Embroidery,UPDATE,1.0 inch - 200-499,1.0 inch - 201-300,0.38,1.80,+374%
custom-soccer-patches,Embroidery,UPDATE,1.5 inch - 200-499,1.5 inch - 201-300,0.56,1.80,+221%
custom-soccer-patches,Embroidery,UPDATE,2.0 inch - 200-499,2.0 inch - 201-300,0.71,1.80,+154%
custom-soccer-patches,Embroidery,UPDATE,2.5 inch - 200-499,2.5 inch - 201-300,0.94,1.80,+91%
custom-soccer-patches,Embroidery,UPDATE,3.0 inch - 200-499,3.0 inch - 201-300,1.11,1.50,+35%
custom-soccer-patches,Embroidery,UPDATE,3.5 inch - 200-499,3.5 inch - 201-300,1.30,1.80,+38%
custom-soccer-patches,Embroidery,UPDATE,4.0 inch - 200-499,4.0 inch - 201-300,1.49,2.00,+34%
custom-soccer-patches,Embroidery,UPDATE,4.5 inch - 200-499,4.5 inch - 201-300,1.68,2.55,+52%
custom-soccer-patches,Embroidery,UPDATE,5.0 inch - 200-499,5.0 inch - 201-300,1.86,3.00,+61%
custom-soccer-patches,Embroidery,UPDATE,6.0 inch - 200-499,6.0 inch - 201-300,2.24,3.80,+70%
custom-soccer-patches,Embroidery,UPDATE,7.0 inch - 200-499,7.0 inch - 201-300,2.60,4.50,+73%
custom-soccer-patches,Embroidery,UPDATE,8.0 inch - 200-499,8.0 inch - 201-300,2.98,5.10,+71%
custom-soccer-patches,Embroidery,UPDATE,9.0 inch - 200-499,9.0 inch - 201-300,3.34,5.90,+77%
custom-soccer-patches,Embroidery,UPDATE,10.0 inch - 200-499,10.0 inch - 201-300,3.72,6.50,+75%
custom-soccer-patches,Embroidery,UPDATE,11.0 inch - 200-499,11.0 inch - 201-300,4.09,7.10,+74%
custom-soccer-patches,Embroidery,UPDATE,12.0 inch - 200-499,12.0 inch - 201-300,4.47,8.00,+79%
custom-soccer-patches,Embroidery,UPDATE,13.0 inch - 200-499,13.0 inch - 201-300,5.60,9.60,+71%
custom-soccer-patches,Embroidery,UPDATE,14.0 inch - 200-499,14.0 inch - 201-300,6.75,10.80,+60%
custom-soccer-patches,Embroidery,UPDATE,15.0 inch - 200-499,15.0 inch - 201-300,7.80,12.00,+54%
custom-soccer-patches,Embroidery,UPDATE,16.0 inch - 200-499,16.0 inch - 201-300,8.85,13.00,+47%
custom-soccer-patches,Embroidery,UPDATE,1.0 inch - 500-999,1.0 inch - 301-400,0.27,1.60,+493%
custom-soccer-patches,Embroidery,UPDATE,1.5 inch - 500-999,1.5 inch - 301-400,0.41,1.60,+290%
custom-soccer-patches,Embroidery,UPDATE,2.0 inch - 500-999,2.0 inch - 301-400,0.54,1.60,+196%
custom-soccer-patches,Embroidery,UPDATE,2.5 inch - 500-999,2.5 inch - 301-400,0.68,1.60,+135%
custom-soccer-patches,Embroidery,UPDATE,3.0 inch - 500-999,3.0 inch - 301-400,0.81,1.20,+48%
custom-soccer-patches,Embroidery,UPDATE,3.5 inch - 500-999,3.5 inch - 301-400,0.94,1.60,+70%
custom-soccer-patches,Embroidery,UPDATE,4.0 inch - 500-999,4.0 inch - 301-400,1.09,1.80,+65%
custom-soccer-patches,Embroidery,UPDATE,4.5 inch - 500-999,4.5 inch - 301-400,1.22,2.45,+101%
custom-soccer-patches,Embroidery,UPDATE,5.0 inch - 500-999,5.0 inch - 301-400,1.36,2.80,+106%
custom-soccer-patches,Embroidery,UPDATE,6.0 inch - 500-999,6.0 inch - 301-400,1.64,3.60,+120%
custom-soccer-patches,Embroidery,UPDATE,7.0 inch - 500-999,7.0 inch - 301-400,1.90,4.30,+126%
custom-soccer-patches,Embroidery,UPDATE,8.0 inch - 500-999,8.0 inch - 301-400,2.17,4.80,+121%
custom-soccer-patches,Embroidery,UPDATE,9.0 inch - 500-999,9.0 inch - 301-400,2.45,5.70,+133%
custom-soccer-patches,Embroidery,UPDATE,10.0 inch - 500-999,10.0 inch - 301-400,2.72,6.30,+132%
custom-soccer-patches,Embroidery,UPDATE,11.0 inch - 500-999,11.0 inch - 301-400,2.99,6.80,+127%
custom-soccer-patches,Embroidery,UPDATE,12.0 inch - 500-999,12.0 inch - 301-400,3.26,7.80,+139%
custom-soccer-patches,Embroidery,UPDATE,13.0 inch - 500-999,13.0 inch - 301-400,4.30,9.30,+116%
custom-soccer-patches,Embroidery,UPDATE,14.0 inch - 500-999,14.0 inch - 301-400,5.45,10.40,+91%
custom-soccer-patches,Embroidery,UPDATE,15.0 inch - 500-999,15.0 inch - 301-400,6.80,11.80,+74%
custom-soccer-patches,Embroidery,UPDATE,16.0 inch - 500-999,16.0 inch - 301-400,7.95,12.80,+61%
custom-soccer-patches,Embroidery,UPDATE,1.0 inch - 1000+,1.0 inch - 401-500,0.25,1.40,+460%
custom-soccer-patches,Embroidery,UPDATE,1.5 inch - 1000+,1.5 inch - 401-500,0.37,1.40,+278%
custom-soccer-patches,Embroidery,UPDATE,2.0 inch - 1000+,2.0 inch - 401-500,0.49,1.40,+186%
custom-soccer-patches,Embroidery,UPDATE,2.5 inch - 1000+,2.5 inch - 401-500,0.61,1.40,+130%
custom-soccer-patches,Embroidery,UPDATE,3.0 inch - 1000+,3.0 inch - 401-500,0.73,1.00,+37%
custom-soccer-patches,Embroidery,UPDATE,3.5 inch - 1000+,3.5 inch - 401-500,0.84,1.40,+67%
