Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
varsity-jacket-patches,Varsity Jacket Patches,"<p>Elevate your varsity jacket game with our custom varsity jacket patches, made with top-quality chenille material. Personalize your jacket and show off your unique style with these custom patches. Stand out from the crowd and make a statement with our one-of-a-kind designs.</p> <p class=""MuiTypography-root jss108 MuiTypography-body1"" style=""font-size: 10pt; font-weight: 600;"" data-mce-fragment=""1""><span data-mce-fragment=""1"">Each patch order includes a Free roll of Thermal Tape.</span></p>",Patch Kraze,,chenille,"Chenille Patches, patches, SEO Patches",true,Patch Width (inches),"3""",,,,,,,,,0.0,,0,deny,manual,5.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/LettermanJacketMock3.png?v=1762185677,1,"",false,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/LettermanJacketMock3.png?v=1762185677,lb,,,active
varsity-jacket-patches,,,,,,,,,"3.5""",,,,,,,,,0.0,,0,deny,manual,6.99,,true,true,,,,,,,,,,,,,lb,,,
varsity-jacket-patches,,,,,,,,,"4""",,,,,,,,'00840400570501,0.0,,0,deny,manual,8.70,,true,true,,,,,,,,,,,,,lb,,,
varsity-jacket-patches,,,,,,,,,"4.5""",,,,,,,,'00840400587011,0.0,,0,deny,manual,10.80,,true,true,,,,,,,,,,,,,lb,,,
varsity-jacket-patches,,,,,,,,,"5""",,,,,,,,'00840400569949,0.0,,0,deny,manual,12.54,,true,true,,,,,,,,,,,,,lb,,,
varsity-jacket-patches,,,,,,,,,"5.5""",,,,,,,,'00840400587028,0.0,,0,deny,manual,13.52,,true,true,,,,,,,,,,,,,lb,,,
varsity-jacket-patches,,,,,,,,,"6""",,,,,,,,'00840400570624,0.0,,0,deny,manual,14.81,,true,true,,,,,,,,,,,,,lb,,,
varsity-jacket-patches,,,,,,,,,"6.5""",,,,,,,,'00840400587035,0.0,,0,deny,manual,15.25,,true,true,,,,,,,,,,,,,lb,,,
varsity-jacket-patches,,,,,,,,,"7""",,,,,,,,'00840400569970,0.0,,0,deny,manual,15.88,,true,true,,,,,,,,,,,,,lb,,,
varsity-jacket-patches,,,,,,,,,"7.5""",,,,,,,,'00840400587042,0.0,,0,deny,manual,16.29,,true,true,,,,,,,,,,,,,lb,,,
varsity-jacket-patches,,,,,,,,,"8""",,,,,,,,'00840400570785,0.0,,0,deny,manual,16.72,,true,true,,,,,,,,,,,,,lb,,,
varsity-jacket-patches,,,,,,,,,"8.5""",,,,,,,,'00840400587059,0.0,,0,deny,manual,17.10,,true,true,,,,,,,,,,,,,lb,,,
varsity-jacket-patches,,,,,,,,,"9""",,,,,,,,'00840400570273,0.0,,0,deny,manual,17.56,,true,true,,,,,,,,,,,,,lb,,,
varsity-jacket-patches,,,,,,,,,"9.5""",,,,,,,,'00840400587066,0.0,,0,deny,manual,18.43,,true,true,,,,,,,,,,,,,lb,,,
varsity-jacket-patches,,,,,,,,,"10""",,,,,,,,'00840400570389,0.0,,0,deny,manual,19.22,,true,true,,,,,,,,,,,,,lb,,,
chenille-letter-patches,Chenille Letter Patches,"<p>Made with high-quality chenille material, these custom chenille letter patches boast a soft and durable texture. Add a touch of personalization to your garments with these customizable patches. Perfect for showcasing your unique style and interests.</p> <p class=""MuiTypography-root jss108 MuiTypography-body1"" style=""font-size: 10pt; font-weight: 600;"" data-mce-fragment=""1""><span data-mce-fragment=""1"">Each patch order includes a Free roll of Thermal Tape.</span></p>",Patch Kraze,,chenille,"Chenille Patches, Patch Styles, patches",true,Patch Width (inches),"3""",,,,,,,,,0.0,,0,deny,manual,5.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/Chenille_1_No_BG_558b131c-534b-4888-bb4d-b62d27aa68c2.png?v=1762185677,1,"",false,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/Chenille_1_No_BG_558b131c-534b-4888-bb4d-b62d27aa68c2.png?v=1762185677,lb,,,active
chenille-letter-patches,,,,,,,,,"3.5""",,,,,,,,,0.0,,0,deny,manual,6.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/ChenilleMock.png?v=1762185677,2,"",,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/ChenilleMock.png?v=1762185677,lb,,,
chenille-letter-patches,,,,,,,,,"4""",,,,,,,,'00840400570983,0.0,,0,deny,manual,7.91,,true,true,,,,,,,,,,,,,lb,,,
chenille-letter-patches,,,,,,,,,"4.5""",,,,,,,,'00840400587752,0.0,,0,deny,manual,9.82,,true,true,,,,,,,,,,,,,lb,,,
chenille-letter-patches,,,,,,,,,"5""",,,,,,,,'00840400571003,0.0,,0,deny,manual,11.40,,true,true,,,,,,,,,,,,,lb,,,
chenille-letter-patches,,,,,,,,,"5.5""",,,,,,,,'00840400587769,0.0,,0,deny,manual,12.29,,true,true,,,,,,,,,,,,,lb,,,
chenille-letter-patches,,,,,,,,,"6""",,,,,,,,'00840400570778,0.0,,0,deny,manual,13.46,,true,true,,,,,,,,,,,,,lb,,,
chenille-letter-patches,,,,,,,,,"6.5""",,,,,,,,'00840400587776,0.0,,0,deny,manual,13.86,,true,true,,,,,,,,,,,,,lb,,,
chenille-letter-patches,,,,,,,,,"7""",,,,,,,,'00840400570013,0.0,,0,deny,manual,14.43,,true,true,,,,,,,,,,,,,lb,,,
chenille-letter-patches,,,,,,,,,"7.5""",,,,,,,,'00840400587783,0.0,,0,deny,manual,14.81,,true,true,,,,,,,,,,,,,lb,,,
chenille-letter-patches,,,,,,,,,"8""",,,,,,,,'00840400570907,0.0,,0,deny,manual,15.19,,true,true,,,,,,,,,,,,,lb,,,
chenille-letter-patches,,,,,,,,,"8.5""",,,,,,,,'00840400587790,0.0,,0,deny,manual,15.55,,true,true,,,,,,,,,,,,,lb,,,
chenille-letter-patches,,,,,,,,,"9""",,,,,,,,'00840400570433,0.0,,0,deny,manual,15.95,,true,true,,,,,,,,,,,,,lb,,,
chenille-letter-patches,,,,,,,,,"9.5""",,,,,,,,'00840400587806,0.0,,0,deny,manual,16.75,,true,true,,,,,,,,,,,,,lb,,,
chenille-letter-patches,,,,,,,,,"10""",,,,,,,,'00840400570303,0.0,,0,deny,manual,17.48,,true,true,,,,,,,,,,,,,lb,,,
