Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Status
custom-vinyl-stickers,Custom Vinyl Stickers,Premium custom vinyl stickers - weatherproof and durable for any surface.,Patch Kraze,Uncategorized,stickers,"Custom Vinyl Stickers, stickers, vinyl, weatherproof",TRUE,Sticker Size x Quantity,Style #1-5 - 25-49,VINYL-1-5-25-49,0,shopify,100,deny,manual,0.19,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0819/2170/4255/files/BOOK_1.png?v=1740599405,1,,FALSE,,,lb,active
custom-vinyl-stickers,Custom Vinyl Stickers,Premium custom vinyl stickers - weatherproof and durable for any surface.,Patch Kraze,Uncategorized,stickers,"Custom Vinyl Stickers, stickers, vinyl, weatherproof",TRUE,,Style #1-5 - 50-99,VINYL-1-5-50-99,0,shopify,100,deny,manual,0.12,,TRUE,TRUE,,,,,,,,,lb
custom-vinyl-stickers,Custom Vinyl Stickers,Premium custom vinyl stickers - weatherproof and durable for any surface.,Patch Kraze,Uncategorized,stickers,"Custom Vinyl Stickers, stickers, vinyl, weatherproof",TRUE,,Style #1-5 - 100-249,VINYL-1-5-100-249,0,shopify,100,deny,manual,0.08,,TRUE,TRUE,,,,,,,,,lb
custom-vinyl-stickers,Custom Vinyl Stickers,Premium custom vinyl stickers - weatherproof and durable for any surface.,Patch Kraze,Uncategorized,stickers,"Custom Vinyl Stickers, stickers, vinyl, weatherproof",TRUE,,Style #1-5 - 250-499,VINYL-1-5-250-499,0,shopify,100,deny,manual,0.06,,TRUE,TRUE,,,,,,,,,lb
custom-vinyl-stickers,Custom Vinyl Stickers,Premium custom vinyl stickers - weatherproof and durable for any surface.,Patch Kraze,Uncategorized,stickers,"Custom Vinyl Stickers, stickers, vinyl, weatherproof",TRUE,,Style #1-5 - 500+,VINYL-1-5-500plus,0,shopify,100,deny,manual,0.04,,TRUE,TRUE,,,,,,,,,lb
custom-vinyl-stickers,Custom Vinyl Stickers,Premium custom vinyl stickers - weatherproof and durable for any surface.,Patch Kraze,Uncategorized,stickers,"Custom Vinyl Stickers, stickers, vinyl, weatherproof",TRUE,,Style #6-10 - 25-49,VINYL-6-10-25-49,0,shopify,100,deny,manual,0.25,,TRUE,TRUE,,,,,,,,,lb
custom-vinyl-stickers,Custom Vinyl Stickers,Premium custom vinyl stickers - weatherproof and durable for any surface.,Patch Kraze,Uncategorized,stickers,"Custom Vinyl Stickers, stickers, vinyl, weatherproof",TRUE,,Style #6-10 - 50-99,VINYL-6-10-50-99,0,shopify,100,deny,manual,0.16,,TRUE,TRUE,,,,,,,,,lb
custom-vinyl-stickers,Custom Vinyl Stickers,Premium custom vinyl stickers - weatherproof and durable for any surface.,Patch Kraze,Uncategorized,stickers,"Custom Vinyl Stickers, stickers, vinyl, weatherproof",TRUE,,Style #6-10 - 100-249,VINYL-6-10-100-249,0,shopify,100,deny,manual,0.11,,TRUE,TRUE,,,,,,,,,lb
custom-vinyl-stickers,Custom Vinyl Stickers,Premium custom vinyl stickers - weatherproof and durable for any surface.,Patch Kraze,Uncategorized,stickers,"Custom Vinyl Stickers, stickers, vinyl, weatherproof",TRUE,,Style #6-10 - 250-499,VINYL-6-10-250-499,0,shopify,100,deny,manual,0.08,,TRUE,TRUE,,,,,,,,,lb
custom-vinyl-stickers,Custom Vinyl Stickers,Premium custom vinyl stickers - weatherproof and durable for any surface.,Patch Kraze,Uncategorized,stickers,"Custom Vinyl Stickers, stickers, vinyl, weatherproof",TRUE,,Style #6-10 - 500+,VINYL-6-10-500plus,0,shopify,100,deny,manual,0.06,,TRUE,TRUE,,,,,,,,,lb
custom-vinyl-stickers,Custom Vinyl Stickers,Premium custom vinyl stickers - weatherproof and durable for any surface.,Patch Kraze,Uncategorized,stickers,"Custom Vinyl Stickers, stickers, vinyl, weatherproof",TRUE,,Style #11-15 - 25-49,VINYL-11-15-25-49,0,shopify,100,deny,manual,0.31,,TRUE,TRUE,,,,,,,,,lb
custom-vinyl-stickers,Custom Vinyl Stickers,Premium custom vinyl stickers - weatherproof and durable for any surface.,Patch Kraze,Uncategorized,stickers,"Custom Vinyl Stickers, stickers, vinyl, weatherproof",TRUE,,Style #11-15 - 50-99,VINYL-11-15-50-99,0,shopify,100,deny,manual,0.19,,TRUE,TRUE,,,,,,,,,lb
custom-vinyl-stickers,Custom Vinyl Stickers,Premium custom vinyl stickers - weatherproof and durable for any surface.,Patch Kraze,Uncategorized,stickers,"Custom Vinyl Stickers, stickers, vinyl, weatherproof",TRUE,,Style #11-15 - 100-249,VINYL-11-15-100-249,0,shopify,100,deny,manual,0.13,,TRUE,TRUE,,,,,,,,,lb
custom-vinyl-stickers,Custom Vinyl Stickers,Premium custom vinyl stickers - weatherproof and durable for any surface.,Patch Kraze,Uncategorized,stickers,"Custom Vinyl Stickers, stickers, vinyl, weatherproof",TRUE,,Style #11-15 - 250-499,VINYL-11-15-250-499,0,shopify,100,deny,manual,0.10,,TRUE,TRUE,,,,,,,,,lb
custom-vinyl-stickers,Custom Vinyl Stickers,Premium custom vinyl stickers - weatherproof and durable for any surface.,Patch Kraze,Uncategorized,stickers,"Custom Vinyl Stickers, stickers, vinyl, weatherproof",TRUE,,Style #11-15 - 500+,VINYL-11-15-500plus,0,shopify,100,deny,manual,0.07,,TRUE,TRUE,,,,,,,,,lb
custom-vinyl-stickers,Custom Vinyl Stickers,Premium custom vinyl stickers - weatherproof and durable for any surface.,Patch Kraze,Uncategorized,stickers,"Custom Vinyl Stickers, stickers, vinyl, weatherproof",TRUE,,Style #16-20 - 25-49,VINYL-16-20-25-49,0,shopify,100,deny,manual,0.37,,TRUE,TRUE,,,,,,,,,lb
custom-vinyl-stickers,Custom Vinyl Stickers,Premium custom vinyl stickers - weatherproof and durable for any surface.,Patch Kraze,Uncategorized,stickers,"Custom Vinyl Stickers, stickers, vinyl, weatherproof",TRUE,,Style #16-20 - 50-99,VINYL-16-20-50-99,0,shopify,100,deny,manual,0.23,,TRUE,TRUE,,,,,,,,,lb
custom-vinyl-stickers,Custom Vinyl Stickers,Premium custom vinyl stickers - weatherproof and durable for any surface.,Patch Kraze,Uncategorized,stickers,"Custom Vinyl Stickers, stickers, vinyl, weatherproof",TRUE,,Style #16-20 - 100-249,VINYL-16-20-100-249,0,shopify,100,deny,manual,0.15,,TRUE,TRUE,,,,,,,,,lb
custom-vinyl-stickers,Custom Vinyl Stickers,Premium custom vinyl stickers - weatherproof and durable for any surface.,Patch Kraze,Uncategorized,stickers,"Custom Vinyl Stickers, stickers, vinyl, weatherproof",TRUE,,Style #16-20 - 250-499,VINYL-16-20-250-499,0,shopify,100,deny,manual,0.12,,TRUE,TRUE,,,,,,,,,lb
custom-vinyl-stickers,Custom Vinyl Stickers,Premium custom vinyl stickers - weatherproof and durable for any surface.,Patch Kraze,Uncategorized,stickers,"Custom Vinyl Stickers, stickers, vinyl, weatherproof",TRUE,,Style #16-20 - 500+,VINYL-16-20-500plus,0,shopify,100,deny,manual,0.08,,TRUE,TRUE,,,,,,,,,lb
custom-vinyl-stickers,Custom Vinyl Stickers,Premium custom vinyl stickers - weatherproof and durable for any surface.,Patch Kraze,Uncategorized,stickers,"Custom Vinyl Stickers, stickers, vinyl, weatherproof",TRUE,,Style #21-25 - 25-49,VINYL-21-25-25-49,0,shopify,100,deny,manual,0.43,,TRUE,TRUE,,,,,,,,,lb
custom-vinyl-stickers,Custom Vinyl Stickers,Premium custom vinyl stickers - weatherproof and durable for any surface.,Patch Kraze,Uncategorized,stickers,"Custom Vinyl Stickers, stickers, vinyl, weatherproof",TRUE,,Style #21-25 - 50-99,VINYL-21-25-50-99,0,shopify,100,deny,manual,0.26,,TRUE,TRUE,,,,,,,,,lb
custom-vinyl-stickers,Custom Vinyl Stickers,Premium custom vinyl stickers - weatherproof and durable for any surface.,Patch Kraze,Uncategorized,stickers,"Custom Vinyl Stickers, stickers, vinyl, weatherproof",TRUE,,Style #21-25 - 100-249,VINYL-21-25-100-249,0,shopify,100,deny,manual,0.18,,TRUE,TRUE,,,,,,,,,lb
custom-vinyl-stickers,Custom Vinyl Stickers,Premium custom vinyl stickers - weatherproof and durable for any surface.,Patch Kraze,Uncategorized,stickers,"Custom Vinyl Stickers, stickers, vinyl, weatherproof",TRUE,,Style #21-25 - 250-499,VINYL-21-25-250-499,0,shopify,100,deny,manual,0.13,,TRUE,TRUE,,,,,,,,,lb
custom-vinyl-stickers,Custom Vinyl Stickers,Premium custom vinyl stickers - weatherproof and durable for any surface.,Patch Kraze,Uncategorized,stickers,"Custom Vinyl Stickers, stickers, vinyl, weatherproof",TRUE,,Style #21-25 - 500+,VINYL-21-25-500plus,0,shopify,100,deny,manual,0.09,,TRUE,TRUE,,,,,,,,,lb
custom-vinyl-stickers,Custom Vinyl Stickers,Premium custom vinyl stickers - weatherproof and durable for any surface.,Patch Kraze,Uncategorized,stickers,"Custom Vinyl Stickers, stickers, vinyl, weatherproof",TRUE,,Style #26-30 - 25-49,VINYL-26-30-25-49,0,shopify,100,deny,manual,0.49,,TRUE,TRUE,,,,,,,,,lb
custom-vinyl-stickers,Custom Vinyl Stickers,Premium custom vinyl stickers - weatherproof and durable for any surface.,Patch Kraze,Uncategorized,stickers,"Custom Vinyl Stickers, stickers, vinyl, weatherproof",TRUE,,Style #26-30 - 50-99,VINYL-26-30-50-99,0,shopify,100,deny,manual,0.29,,TRUE,TRUE,,,,,,,,,lb
custom-vinyl-stickers,Custom Vinyl Stickers,Premium custom vinyl stickers - weatherproof and durable for any surface.,Patch Kraze,Uncategorized,stickers,"Custom Vinyl Stickers, stickers, vinyl, weatherproof",TRUE,,Style #26-30 - 100-249,VINYL-26-30-100-249,0,shopify,100,deny,manual,0.20,,TRUE,TRUE,,,,,,,,,lb
custom-vinyl-stickers,Custom Vinyl Stickers,Premium custom vinyl stickers - weatherproof and durable for any surface.,Patch Kraze,Uncategorized,stickers,"Custom Vinyl Stickers, stickers, vinyl, weatherproof",TRUE,,Style #26-30 - 250-499,VINYL-26-30-250-499,0,shopify,100,deny,manual,0.15,,TRUE,TRUE,,,,,,,,,lb
custom-vinyl-stickers,Custom Vinyl Stickers,Premium custom vinyl stickers - weatherproof and durable for any surface.,Patch Kraze,Uncategorized,stickers,"Custom Vinyl Stickers, stickers, vinyl, weatherproof",TRUE,,Style #26-30 - 500+,VINYL-26-30-500plus,0,shopify,100,deny,manual,0.10,,TRUE,TRUE,,,,,,,,,lb
custom-vinyl-stickers,Custom Vinyl Stickers,Premium custom vinyl stickers - weatherproof and durable for any surface.,Patch Kraze,Uncategorized,stickers,"Custom Vinyl Stickers, stickers, vinyl, weatherproof",TRUE,,Style #31-35 - 25-49,VINYL-31-35-25-49,0,shopify,100,deny,manual,0.55,,TRUE,TRUE,,,,,,,,,lb
custom-vinyl-stickers,Custom Vinyl Stickers,Premium custom vinyl stickers - weatherproof and durable for any surface.,Patch Kraze,Uncategorized,stickers,"Custom Vinyl Stickers, stickers, vinyl, weatherproof",TRUE,,Style #31-35 - 50-99,VINYL-31-35-50-99,0,shopify,100,deny,manual,0.33,,TRUE,TRUE,,,,,,,,,lb
custom-vinyl-stickers,Custom Vinyl Stickers,Premium custom vinyl stickers - weatherproof and durable for any surface.,Patch Kraze,Uncategorized,stickers,"Custom Vinyl Stickers, stickers, vinyl, weatherproof",TRUE,,Style #31-35 - 100-249,VINYL-31-35-100-249,0,shopify,100,deny,manual,0.22,,TRUE,TRUE,,,,,,,,,lb
