Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Status
dtf-transfers,DTF Transfers,Direct to Film transfers - vibrant and durable for any fabric.,Patch Kraze,Uncategorized,dtf,"DTF Transfers, transfers, direct to film, vibrant",TRUE,Size (sq in) x Quantity,4 sq in - 25-49,DTF-4-25,0,shopify,500,deny,manual,0.12,,TRUE,TRUE,,FALSE,,,lb,active
dtf-transfers,,,,,,,,,4 sq in - 50-99,DTF-4-50,0,shopify,500,deny,manual,0.08,,TRUE,TRUE,,,,,lb,
dtf-transfers,,,,,,,,,4 sq in - 100-199,DTF-4-100,0,shopify,500,deny,manual,0.07,,TRUE,TRUE,,,,,lb,
dtf-transfers,,,,,,,,,4 sq in - 200-499,DTF-4-200,0,shopify,500,deny,manual,0.05,,TRUE,TRUE,,,,,lb,
dtf-transfers,,,,,,,,,4 sq in - 500-999,DTF-4-500,0,shopify,500,deny,manual,0.04,,TRUE,TRUE,,,,,lb,
dtf-transfers,,,,,,,,,4 sq in - 1000-999999,DTF-4-1000,0,shopify,500,deny,manual,0.04,,TRUE,TRUE,,,,,lb,
dtf-transfers,,,,,,,,,9 sq in - 25-49,DTF-9-25,0,shopify,500,deny,manual,0.27,,TRUE,TRUE,,,,,lb,
dtf-transfers,,,,,,,,,9 sq in - 50-99,DTF-9-50,0,shopify,500,deny,manual,0.19,,TRUE,TRUE,,,,,lb,
dtf-transfers,,,,,,,,,9 sq in - 100-199,DTF-9-100,0,shopify,500,deny,manual,0.15,,TRUE,TRUE,,,,,lb,
dtf-transfers,,,,,,,,,9 sq in - 200-499,DTF-9-200,0,shopify,500,deny,manual,0.11,,TRUE,TRUE,,,,,lb,
dtf-transfers,,,,,,,,,9 sq in - 500-999,DTF-9-500,0,shopify,500,deny,manual,0.09,,TRUE,TRUE,,,,,lb,
dtf-transfers,,,,,,,,,9 sq in - 1000-999999,DTF-9-1000,0,shopify,500,deny,manual,0.08,,TRUE,TRUE,,,,,lb,
dtf-transfers,,,,,,,,,16 sq in - 25-49,DTF-16-25,0,shopify,500,deny,manual,0.48,,TRUE,TRUE,,,,,lb,
dtf-transfers,,,,,,,,,16 sq in - 50-99,DTF-16-50,0,shopify,500,deny,manual,0.34,,TRUE,TRUE,,,,,lb,
dtf-transfers,,,,,,,,,16 sq in - 100-199,DTF-16-100,0,shopify,500,deny,manual,0.26,,TRUE,TRUE,,,,,lb,
dtf-transfers,,,,,,,,,16 sq in - 200-499,DTF-16-200,0,shopify,500,deny,manual,0.2,,TRUE,TRUE,,,,,lb,
dtf-transfers,,,,,,,,,16 sq in - 500-999,DTF-16-500,0,shopify,500,deny,manual,0.17,,TRUE,TRUE,,,,,lb,
dtf-transfers,,,,,,,,,16 sq in - 1000-999999,DTF-16-1000,0,shopify,500,deny,manual,0.14,,TRUE,TRUE,,,,,lb,
dtf-transfers,,,,,,,,,25 sq in - 25-49,DTF-25-25,0,shopify,500,deny,manual,0.75,,TRUE,TRUE,,,,,lb,
dtf-transfers,,,,,,,,,25 sq in - 50-99,DTF-25-50,0,shopify,500,deny,manual,0.52,,TRUE,TRUE,,,,,lb,
dtf-transfers,,,,,,,,,25 sq in - 100-199,DTF-25-100,0,shopify,500,deny,manual,0.41,,TRUE,TRUE,,,,,lb,
dtf-transfers,,,,,,,,,25 sq in - 200-499,DTF-25-200,0,shopify,500,deny,manual,0.32,,TRUE,TRUE,,,,,lb,
dtf-transfers,,,,,,,,,25 sq in - 500-999,DTF-25-500,0,shopify,500,deny,manual,0.26,,TRUE,TRUE,,,,,lb,
dtf-transfers,,,,,,,,,25 sq in - 1000-999999,DTF-25-1000,0,shopify,500,deny,manual,0.22,,TRUE,TRUE,,,,,lb,
