Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
embroidered-patches,Embroidered Patches,"<div data-mce-fragment=""1"" class=""jss96""> <div data-mce-fragment=""1"" class=""MuiContainer-root MuiContainer-maxWidthXl""> <div data-mce-fragment=""1"" class=""MuiGrid-root MuiGrid-container MuiGrid-spacing-xs-4""> <div data-mce-fragment=""1"" class=""MuiGrid-root jss102 MuiGrid-item MuiGrid-grid-xs-12 MuiGrid-grid-lg-6""> <div data-mce-fragment=""1"" class=""jss105""> <p data-mce-fragment=""1"" class=""MuiTypography-root jss108 MuiTypography-body1""><meta charset=""utf-8"">Custom embroidered patches are crafted to provide the premium appearance of direct embroidery without the long-term commitment. These embroidered patches can feature either a sleek thin-stitched edge or a robust Merrow border.</p> <p data-mce-fragment=""1"" class=""MuiTypography-root jss108 MuiTypography-body1"" style=""font-size: 10pt; font-weight: 600;""><meta charset=""utf-8""><span data-mce-fragment=""1"">Each patch order includes a free roll of Thermal Tape.</span></p> <p data-mce-fragment=""1"" class=""MuiTypography-root jss108 MuiTypography-body1 __prematched-text""><span><meta charset=""utf-8""> <span style=""font-weight: 600;"">Add a Premade Patch Sample to Cart - </span><span style=""font-weight: 800;"">$0.01</span> - <a href=""https://Patch%20Krazepatches.com/cart/add?id=46978094727487&amp;quantity=1"" title=""Add to Cart""><strong>Add to Cart</strong></a></span></p> <p class=""__prematched-text""><br></p> </div> </div> </div> </div> </div>",Patch Kraze,Uncategorized,embroidered,"Embroidered Patches, patches, Popular, rush, Standard Patches",true,Patch Size (inches),"1""",,,,,,,,'00840400502500,0.0,,0,deny,manual,1.23,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0661/2965/7940/files/embroidered-main.jpg?v=1770380996,1,"",false,,,,lb,,,active
embroidered-patches,,,,,,,,,"1.5""",,,,,,,,'00840400502501,0.0,,0,deny,manual,1.86,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0661/2965/7940/files/embriodary_3.jpg?v=1770382510,2,"",,,,,lb,,,
embroidered-patches,,,,,,,,,"2""",,,,,,,,'00840400502502,0.0,,0,deny,manual,2.48,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/embriodary_4.jpg?v=1770382510,3,"",,,,,lb,,,
embroidered-patches,,,,,,,,,"2.5""",,,,,,,,'00840400503318,0.0,,0,deny,manual,3.11,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/embriodary_11.jpg?v=1770382510,4,"",,,,,lb,,,
embroidered-patches,,,,,,,,,"3""",,,,,,,,'00840400503219,0.0,,0,deny,manual,3.71,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/embriodary_14.jpg?v=1770382510,5,"",,,,,lb,,,
embroidered-patches,,,,,,,,,"3.5""",,,,,,,,'00840400502137,0.0,,0,deny,manual,4.31,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/embriodary_15.jpg?v=1770382510,6,"",,,,,lb,,,
embroidered-patches,,,,,,,,,"4""",,,,,,,,'00840400503226,0.0,,0,deny,manual,4.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/embriodary_5.jpg?v=1770382510,7,"",,,,,lb,,,
embroidered-patches,,,,,,,,,"4.5""",,,,,,,,'00840400502915,0.0,,0,deny,manual,5.55,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/embriodary_6.jpg?v=1770382510,8,"",,,,,lb,,,
embroidered-patches,,,,,,,,,"5""",,,,,,,,'00840400502984,0.0,,0,deny,manual,6.18,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/embriodary_8.jpg?v=1770382511,9,"",,,,,lb,,,
embroidered-patches,,,,,,,,,"5.5""",,,,,,,,'00840400587677,0.0,,0,deny,manual,6.79,,true,true,,,,,,,,,,,,,lb,,,
