Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Status
full-color-printed-patches,Full Color Printed Patches,"Custom dye sublimation patches allow for vibrant full-color printing with your unique text and designs. Similar to our embroidered badges, these sublimated patches are finished with a merrow border in a thread color of your choosing. Each patch order includes a free roll of Thermal Tape.",Patch Kraze,Uncategorized,full color,"patches, Popular, Standard Patches",true,Patch Size x Quantity,1 inch - 25-49,FCP-1-2549,0,shopify,100,deny,manual,1.23,,true,true,,false,,,lb,active
full-color-printed-patches,,,,,,,,,1.5 inch - 25-49,FCP-15-2549,0,shopify,100,deny,manual,1.86,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,2 inch - 25-49,FCP-2-2549,0,shopify,100,deny,manual,2.48,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,2.5 inch - 25-49,FCP-25-2549,0,shopify,100,deny,manual,3.11,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,3 inch - 25-49,FCP-3-2549,0,shopify,100,deny,manual,3.71,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,3.5 inch - 25-49,FCP-35-2549,0,shopify,100,deny,manual,4.31,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,4 inch - 25-49,FCP-4-2549,0,shopify,100,deny,manual,4.95,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,4.5 inch - 25-49,FCP-45-2549,0,shopify,100,deny,manual,5.55,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,5 inch - 25-49,FCP-5-2549,0,shopify,100,deny,manual,6.18,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,6 inch - 25-49,FCP-6-2549,0,shopify,100,deny,manual,7.41,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,7 inch - 25-49,FCP-7-2549,0,shopify,100,deny,manual,8.64,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,8 inch - 25-49,FCP-8-2549,0,shopify,100,deny,manual,9.87,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,9 inch - 25-49,FCP-9-2549,0,shopify,100,deny,manual,11.10,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,10 inch - 25-49,FCP-10-2549,0,shopify,100,deny,manual,12.33,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,11 inch - 25-49,FCP-11-2549,0,shopify,100,deny,manual,13.58,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,12 inch - 25-49,FCP-12-2549,0,shopify,100,deny,manual,14.82,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,1 inch - 50-99,FCP-1-5099,0,shopify,100,deny,manual,1.07,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,1.5 inch - 50-99,FCP-15-5099,0,shopify,100,deny,manual,1.62,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,2 inch - 50-99,FCP-2-5099,0,shopify,100,deny,manual,2.15,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,2.5 inch - 50-99,FCP-25-5099,0,shopify,100,deny,manual,2.69,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,3 inch - 50-99,FCP-3-5099,0,shopify,100,deny,manual,3.21,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,3.5 inch - 50-99,FCP-35-5099,0,shopify,100,deny,manual,3.75,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,4 inch - 50-99,FCP-4-5099,0,shopify,100,deny,manual,4.29,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,4.5 inch - 50-99,FCP-45-5099,0,shopify,100,deny,manual,4.82,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,5 inch - 50-99,FCP-5-5099,0,shopify,100,deny,manual,5.37,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,6 inch - 50-99,FCP-6-5099,0,shopify,100,deny,manual,6.44,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,7 inch - 50-99,FCP-7-5099,0,shopify,100,deny,manual,7.52,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,8 inch - 50-99,FCP-8-5099,0,shopify,100,deny,manual,8.58,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,9 inch - 50-99,FCP-9-5099,0,shopify,100,deny,manual,9.65,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,10 inch - 50-99,FCP-10-5099,0,shopify,100,deny,manual,10.73,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,11 inch - 50-99,FCP-11-5099,0,shopify,100,deny,manual,11.81,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,12 inch - 50-99,FCP-12-5099,0,shopify,100,deny,manual,12.89,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,1 inch - 100-199,FCP-1-100199,0,shopify,100,deny,manual,0.80,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,1.5 inch - 100-199,FCP-15-100199,0,shopify,100,deny,manual,1.19,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,2 inch - 100-199,FCP-2-100199,0,shopify,100,deny,manual,1.59,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,2.5 inch - 100-199,FCP-25-100199,0,shopify,100,deny,manual,2.00,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,3 inch - 100-199,FCP-3-100199,0,shopify,100,deny,manual,2.39,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,3.5 inch - 100-199,FCP-35-100199,0,shopify,100,deny,manual,2.79,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,4 inch - 100-199,FCP-4-100199,0,shopify,100,deny,manual,3.17,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,4.5 inch - 100-199,FCP-45-100199,0,shopify,100,deny,manual,3.57,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,5 inch - 100-199,FCP-5-100199,0,shopify,100,deny,manual,3.96,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,6 inch - 100-199,FCP-6-100199,0,shopify,100,deny,manual,4.77,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,7 inch - 100-199,FCP-7-100199,0,shopify,100,deny,manual,5.57,,true,true,,,,,lb,
