Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
patches-for-jackets,Custom Patches For Jackets,"<meta charset=""utf-8""> <div class=""jss96"" data-mce-fragment=""1""> <div class=""MuiContainer-root MuiContainer-maxWidthXl"" data-mce-fragment=""1""> <div class=""MuiGrid-root MuiGrid-container MuiGrid-spacing-xs-4"" data-mce-fragment=""1""> <div class=""MuiGrid-root jss102 MuiGrid-item MuiGrid-grid-xs-12 MuiGrid-grid-lg-6"" data-mce-fragment=""1""> <div class=""jss105"" data-mce-fragment=""1""> <p class=""MuiTypography-root jss108 MuiTypography-body1"" data-mce-fragment=""1""><span style=""font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 0.875rem;""><span data-mce-fragment=""1""><meta charset=""utf-8"">Elevate your wardrobe with custom patches for jackets, designed to add a unique flair to any outfit. These custom jacket patches can be tailored with either a refined thin-stitched edge or a sturdy merrow border, making them ideal for adding a personalized touch to jackets.</span> </span><br><meta charset=""utf-8""></p> <p class=""MuiTypography-root jss108 MuiTypography-body1"" style=""font-size: 10pt; font-weight: 600;"" data-mce-fragment=""1""><span data-mce-fragment=""1"">Each patch order includes a Free roll of Thermal Tape.</span></p> <p class=""MuiTypography-root jss108 MuiTypography-body1 __prematched-text"" data-mce-fragment=""1""><span style=""font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 0.875rem;""><span data-mce-fragment=""1""><strong>Add a Premade Patch Sample to Cart - $0.01 -</strong> <a href=""https://Patch%20Krazepatches.com/cart/add?id=46978094727487&amp;quantity=1"" title=""Add to Cart""><strong>Add to Cart</strong></a></span></span></p> </div> </div> </div> </div> </div>",Patch Kraze,,embroidered,"Embroidered Patches, patches, rush, SEO Patches",true,Patch Width (inches),"2""",,,,,,,,'00840400508108,0.0,,0,deny,manual,4.17,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/JacketPatchMOCK.png?v=1762185720,1,"",false,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/JacketPatchMOCK.png?v=1762185720,lb,,,active
patches-for-jackets,,,,,,,,,"2.5""",,,,,,,,'00840400507446,0.0,,0,deny,manual,4.49,,true,true,,,,,,,,,,,,,lb,,,
patches-for-jackets,,,,,,,,,"3""",,,,,,,,'00840400508177,0.0,,0,deny,manual,4.81,,true,true,,,,,,,,,,,,,lb,,,
patches-for-jackets,,,,,,,,,"3.5""",,,,,,,,'00840400508283,0.0,,0,deny,manual,5.79,,true,true,,,,,,,,,,,,,lb,,,
patches-for-jackets,,,,,,,,,"4""",,,,,,,,'00840400506869,0.0,,0,deny,manual,6.44,,true,true,,,,,,,,,,,,,lb,,,
patches-for-shirts,Custom Patches For Shirts,"<meta charset=""utf-8""> <div data-mce-fragment=""1"" class=""jss96""> <div data-mce-fragment=""1"" class=""MuiContainer-root MuiContainer-maxWidthXl""> <div data-mce-fragment=""1"" class=""MuiGrid-root MuiGrid-container MuiGrid-spacing-xs-4""> <div data-mce-fragment=""1"" class=""MuiGrid-root jss102 MuiGrid-item MuiGrid-grid-xs-12 MuiGrid-grid-lg-6""> <div data-mce-fragment=""1"" class=""jss105""> <p data-mce-fragment=""1"" class=""MuiTypography-root jss108 MuiTypography-body1""><span style=""font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 0.875rem;""><meta charset=""utf-8""> <span data-mce-fragment=""1"">Custom shirt patches are designed to offer the upscale look of direct embroidery while remaining versatile. These patches can be tailored with either a refined thin-stitched edge or a sturdy Merrow border, making them ideal for adding a personalized touch to shirts.</span> </span><br><meta charset=""utf-8""></p> <p class=""MuiTypography-root jss108 MuiTypography-body1"" style=""font-size: 10pt; font-weight: 600;"" data-mce-fragment=""1""><span data-mce-fragment=""1"">Each patch order includes a Free roll of Thermal Tape.</span></p> <p data-mce-fragment=""1"" class=""MuiTypography-root jss108 MuiTypography-body1 __prematched-text""><span style=""font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 0.875rem;""><span data-mce-fragment=""1""><strong>Add a Premade Patch Sample to Cart - $0.01 -</strong> <a href=""https://Patch%20Krazepatches.com/cart/add?id=46978094727487&amp;quantity=1"" title=""Add to Cart""><strong>Add to Cart</strong></a></span></span></p> </div> </div> </div> </div> </div>",Patch Kraze,,embroidered,"Embroidered Patches, patches, rush, SEO Patches",true,Patch Width (inches),"2""",,,,,,,,'00840400507040,0.0,,0,deny,manual,4.17,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/ShirtsPatchMOCK.png?v=1762185721,1,"",false,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/ShirtsPatchMOCK.png?v=1762185721,lb,,,active
patches-for-shirts,,,,,,,,,"2.5""",,,,,,,,'00840400506951,0.0,,0,deny,manual,4.49,,true,true,,,,,,,,,,,,,lb,,,
patches-for-shirts,,,,,,,,,"3""",,,,,,,,'00840400507095,0.0,,0,deny,manual,4.81,,true,true,,,,,,,,,,,,,lb,,,
patches-for-shirts,,,,,,,,,"3.5""",,,,,,,,'00840400506692,0.0,,0,deny,manual,5.79,,true,true,,,,,,,,,,,,,lb,,,
patches-for-shirts,,,,,,,,,"4""",,,,,,,,'00840400506876,0.0,,0,deny,manual,6.44,,true,true,,,,,,,,,,,,,lb,,,
